Element_ID,Wall_Element_ID,Building_Level,Orientation,Glass_Area_m2,Window_Width_m,Window_Height_m,Azimuth_degrees,Annual_Radiation_kWh_m2,PV_Suitable,BIPV_Technology,BIPV_Efficiency_%,BIPV_Transparency_%,BIPV_Power_Density_W_m2,System_Capacity_kW,Annual_Generation_kWh,Cost_per_m2_EUR,Total_System_Cost_EUR,Payback_Period_Years,Solution_Number,Solution_Status
# Project: TU Berlin Building H - PhD final calculations.
# Electricity Rate Used: 0.315 EUR/kWh

350544,342225,5,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350614,342319,5,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350635,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350640,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350645,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350650,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350655,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350660,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350665,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350822,342319,5,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350823,342319,5,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350824,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350825,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350826,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350827,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350828,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350829,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350830,342319,5,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350859,342319,6,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350860,342319,6,South,10.68,4.0,2.67,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,0.77,747.0,298.0,3177.0,13.5,Solution_567,OPTIMAL_SOLUTION
350861,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
350862,342319,6,South,16.22,4.93,3.29,174.1,925.0,YES,Heliatek HeliaSol,8.9,15.0,85.0,1.17,1135.0,298.0,4825.0,13.5,Solution_567,OPTIMAL_SOLUTION
